AN_REFERENCIA;NM_MUNICIPIO_IES_CAPES;SG_UF_IES_CAPES;NM_REGIAO_IES_CAPES;CD_IES_CAPES;NM_IES_CAPES;SG_IES_CAPES;NM_NATUREZA_JURIDICA;SG_PROGRAMA_FOMENTO;CD_PROGRAMA;NM_PROGRAMA;NM_GRANDE_AREA;NM_AREA_AVALIACAO;NM_AREA_CONHECIMENTO;NM_NIVEL_PADRAO;QT_BOLSAS_CONCEDIDAS
2014;RIO DE JANEIRO;RJ;SUDESTE;31010016;FUNDACAO OSWALDO CRUZ (FIOCRUZ);FIOCRUZ;FEDERAL;ARAUCÁRIA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;PÓS-DOUTORADO;6
2014;SEROPÉDICA;RJ;SUDESTE;31052010;EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA-MATRIZ;EMBRAPA-MATRIZ;FEDERAL;ARAUCÁRIA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;PÓS-DOUTORADO;3
2014;BELO HORIZONTE;MG;SUDESTE;32001010;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;FEDERAL;ARAUCÁRIA;32001010058P9;MÚSICA;LINGÜÍSTICA, LETRAS E ARTES;ARTES / MÚSICA;MÚSICA;DOUTORADO;1
2014;SÃO CARLOS;SP;SUDESTE;33001014;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;FEDERAL;ARAUCÁRIA;33001014001P0;EDUCAÇÃO;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;DOUTORADO;3
2014;SÃO PAULO;SP;SUDESTE;33002010;UNIVERSIDADE DE SÃO PAULO;USP;ESTADUAL;ARAUCÁRIA;33002010097P3;ARQUITETURA E URBANISMO;CIÊNCIAS SOCIAIS APLICADAS;ARQUITETURA E URBANISMO;ARQUITETURA E URBANISMO;DOUTORADO;1
2014;SÃO PAULO;SP;SUDESTE;33002010;UNIVERSIDADE DE SÃO PAULO;USP;ESTADUAL;ARAUCÁRIA;33002010239P2;ENGENHARIA E CIÊNCIA DE MATERIAIS;MULTIDISCIPLINAR;MATERIAIS;MATERIAIS;DOUTORADO;1
2014;RIBEIRÃO PRETO;SP;SUDESTE;33002029;UNIVERSIDADE DE SÃO PAULO ( RIBEIRÃO PRETO );USP/RP;ESTADUAL;ARAUCÁRIA;33002029011P7;SAÚDE PÚBLICA;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;MEDICINA PREVENTIVA;DOUTORADO;1
2014;RIBEIRÃO PRETO;SP;SUDESTE;33002029;UNIVERSIDADE DE SÃO PAULO ( RIBEIRÃO PRETO );USP/RP;ESTADUAL;ARAUCÁRIA;33002029016P9;ENFERMAGEM PSIQUIÁTRICA;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;DOUTORADO;1
2014;SÃO CARLOS;SP;SUDESTE;33002045;UNIVERSIDADE DE SÃO PAULO (SÃO CARLOS);USP/SC;ESTADUAL;ARAUCÁRIA;33002045004P1;CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL;CIÊNCIAS EXATAS E DA TERRA;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;DOUTORADO;1
2014;SÃO CARLOS;SP;SUDESTE;33002045;UNIVERSIDADE DE SÃO PAULO (SÃO CARLOS);USP/SC;ESTADUAL;ARAUCÁRIA;33002045010P1;ENGENHARIA ELÉTRICA;ENGENHARIAS;ENGENHARIAS IV;ENGENHARIA ELÉTRICA;DOUTORADO;3
2014;CAMPINAS;SP;SUDESTE;33003017;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;ESTADUAL;ARAUCÁRIA;33003017046P6;EDUCAÇÃO FÍSICA;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;DOUTORADO;1
2014;ASSIS;SP;SUDESTE;33004048;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ASSIS );UNESP-ASSIS;ESTADUAL;ARAUCÁRIA;33004048021P6;PSICOLOGIA;CIÊNCIAS HUMANAS;PSICOLOGIA;PSICOLOGIA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016001P0;EDUCAÇÃO;CIÊNCIAS HUMANAS;EDUCAÇÃO;EDUCAÇÃO;DOUTORADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016003P2;CIÊNCIAS (BIOQUÍMICA);CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS II;BIOQUÍMICA;DOUTORADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016003P2;CIÊNCIAS (BIOQUÍMICA);CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS II;BIOQUÍMICA;MESTRADO;2
